lat,lon,mcc,mnc,lac,cellid,averageSignalStrength,range,samples,changeable,radio,rnc,cid,tac,sid,nid,bid
40.042419,-74.883156,311,870,38573,56372235,,1000,1,1,LTE,,,38573,,,
40.045852661133,-74.884872436523,310,260,34695,33359608,,1000,1,1,UMTS,,,,,,
40.045852661133,-74.880752563477,310,260,34695,33359605,,1000,1,1,UMTS,,,,,,
40.045852661133,-74.879379272461,310,260,34695,33419605,,1000,1,1,UMTS,,,,,,
40.046361,-74.885585,310,120,4866,39861003,,1000,1,1,LTE,,,4866,,,
40.046426,-74.877439,310,260,22039,11146497,,1738,1,1,LTE,,,22039,,,
40.046936,-74.879852,311,480,25600,25610513,,1000,1,1,LTE,,,25600,,,
40.046944,-74.885562,310,260,34687,85848408,,2154,1,1,UMTS,,,,,,
40.047123,-74.879997,311,480,25600,25610510,,1000,1,1,LTE,,,25600,,,
40.047225952148,-74.880752563477,310,410,65534,8536335,,1000,1,1,UMTS,,,,,,
40.047225952148,-74.879379272461,310,260,34695,2086645,,1000,1,1,UMTS,,,,,,
40.047225952148,-74.87663269043,310,410,2997,33457,,1000,1,1,CDMA,,,,410,2997,33457
40.047225952148,-74.875259399414,311,870,13485,56372224,,1000,1,1,LTE,,,13485,,,
40.047447,-74.885277,310,260,22039,11146504,,1000,1,1,LTE,,,22039,,,
40.048511,-74.884872,310,120,4866,39860995,,1000,1,1,LTE,,,4866,,,
40.048599,-74.881439,311,870,4866,56372224,,1000,1,1,LTE,,,4866,,,
40.048599243164,-74.882125854492,310,260,34695,33374766,,1000,1,1,UMTS,,,,,,
40.048724,-74.880628,311,870,38573,56372233,,1000,1,1,LTE,,,38573,,,
40.049286,-74.881525,311,870,38573,56372224,,1000,1,1,LTE,,,38573,,,
40.049482,-74.877738,310,260,34687,85848406,,1000,1,1,UMTS,,,,,,
40.049489,-74.880987,310,260,22039,11146607,,1710,1,1,LTE,,,22039,,,
40.049779,-74.886462,310,260,22039,10804226,,2475,1,1,LTE,,,22039,,,
40.049973,-74.885559,310,120,4866,39861019,,1000,1,1,LTE,,,4866,,,
40.050719,-74.874918,310,260,22039,11146505,,2075,1,1,LTE,,,22039,,,
